name,file,line_start,scc_id,scc_kind,translated
ksprintf,htslib/kstring.c,177,,,FALSE
fai_build3_core,htslib/faidx.c,460,,,FALSE
fai_build3,htslib/faidx.c,557,,,TRUE
fai_build,htslib/faidx.c,562,,,TRUE
hread_uint64,htslib/bgzf.c,2465,,,TRUE
bgzf_index_load_hfile,htslib/bgzf.c,2472,,,TRUE
bgzf_index_load,htslib/bgzf.c,2506,,,TRUE
hisremote,htslib/hfile.c,1345,,,TRUE
bgzf_open_ref,htslib/cram/cram_io.c,2503,,,TRUE
refs_create,htslib/cram/cram_io.c,2467,,,TRUE
isspace_c,htslib/textutils_internal.h,176,,,TRUE
hgetdelim,htslib/hfile.c,241,,,TRUE
hgetln,htslib/htslib/hfile.h,195,,,TRUE
hgets,htslib/hfile.c,291,,,TRUE
refs_load_fai,htslib/cram/cram_io.c,2541,,,TRUE
sanitise_SQ_lines,htslib/cram/cram_io.c,2693,,,TRUE
refs2id,htslib/cram/cram_io.c,2737,,,TRUE
expand_cache_path,htslib/cram/cram_io.c,2884,,,TRUE
is_directory,htslib/cram/cram_io.c,2873,,,TRUE
mkdir_prefix,htslib/cram/cram_io.c,2947,2,self,TRUE
mfdetach,htslib/cram/mFILE.c,389,,,TRUE
mfsteal,htslib/cram/mFILE.c,428,,,TRUE
tokenise_search_path,htslib/cram/open_trace_file.c,108,,,TRUE
mfcreate,htslib/cram/mFILE.c,207,,,TRUE
mrewind,htslib/cram/mFILE.c,475,,,TRUE
mfwrite,htslib/cram/mFILE.c,527,,,TRUE
expand_path,htslib/cram/open_trace_file.c,230,,,TRUE
find_file_url,htslib/cram/open_trace_file.c,182,,,TRUE
mfload,htslib/cram/mFILE.c,75,,,TRUE
mfmmap,htslib/cram/mFILE.c,127,,,TRUE
mfreopen,htslib/cram/mFILE.c,264,,,TRUE
mfopen,htslib/cram/mFILE.c,347,,,TRUE
is_file,htslib/cram/open_trace_file.c,90,,,TRUE
find_file_dir,htslib/cram/open_trace_file.c,314,,,TRUE
open_path_mfile,htslib/cram/open_trace_file.c,352,,,TRUE
find_path,htslib/cram/open_trace_file.c,433,,,TRUE
body,htslib/md5.c,119,,,TRUE
hts_md5_update,htslib/md5.c,237,,,TRUE
hts_md5_final,htslib/md5.c,271,,,TRUE
hts_md5_reset,htslib/md5.c,226,,,TRUE
hts_md5_reset,htslib/md5.c,355,,,TRUE
hts_md5_init,htslib/md5.c,323,,,TRUE
hts_md5_init,htslib/md5.c,344,,,TRUE
hts_md5_update,htslib/md5.c,360,,,TRUE
hts_md5_final,htslib/md5.c,365,,,TRUE
hts_md5_destroy,htslib/md5.c,372,,,TRUE
hts_md5_hex,htslib/md5.c,380,,,TRUE
ks_clear,htslib/htslib/kstring.h,215,,,TRUE
hts_open_tmpfile,htslib/hts.c,1979,,,TRUE
cram_populate_ref,htslib/cram/cram_io.c,2977,,,FALSE
cram_ref_incr_locked,htslib/cram/cram_io.c,3169,,,TRUE
toupper_c,htslib/textutils_internal.h,180,,,TRUE
bgzf_read,htslib/bgzf.c,1241,,,TRUE
bgzf_seek_common,htslib/bgzf.c,2175,,,FALSE
bgzf_useek,htslib/bgzf.c,2544,,,TRUE
load_ref_portion,htslib/cram/cram_io.c,3228,,,TRUE
cram_ref_load,htslib/cram/cram_io.c,3323,,,TRUE
cram_get_ref,htslib/cram/cram_io.c,3409,,,FALSE
cram_codec_to_id,htslib/cram/cram_codecs.c,3968,3,self,TRUE
cram_dependent_data_series,htslib/cram/cram_decode.c,553,,,FALSE
cram_ds_unique,htslib/cram/cram_decode.c,876,,,FALSE
cram_get_block_by_id,htslib/cram/cram_io.h,183,,,TRUE
cram_decode_estimate_sizes,htslib/cram/cram_decode.c,912,,,FALSE
add_md_char,htslib/cram/cram_decode.c,1080,,,FALSE
cram_decode_seq,htslib/cram/cram_decode.c,1096,,,FALSE
map_find,htslib/cram/cram_decode.c,1926,,,FALSE
cram_decode_aux_1_0,htslib/cram/cram_decode.c,1939,,,FALSE
sam_hdr_line_name,htslib/header.c,2235,,,TRUE
aux_ele_size,htslib/cram/cram_decode.c,1989,,,TRUE
cram_decode_aux,htslib/cram/cram_decode.c,2008,,,FALSE
cram_decode_slice_xref,htslib/cram/cram_decode.c,2140,,,FALSE
md5_print,htslib/cram/cram_decode.c,2305,,,TRUE
cram_decode_tlen,htslib/cram/cram_decode.c,2322,,,FALSE
ks_initialize,htslib/htslib/kstring.h,157,,,TRUE
ks_free,htslib/htslib/kstring.h,234,,,TRUE
cram_decode_slice,htslib/cram/cram_decode.c,2346,,,FALSE
lazy_flush,htslib/bgzf.c,1927,,,FALSE
lazy_flush,htslib/bgzf.c,1942,,,TRUE
bgzf_write,htslib/bgzf.c,2002,,,TRUE
cram_index_build_multiref,htslib/cram/cram_index.c,632,,,FALSE
cram_index_slice,htslib/cram/cram_index.c,695,,,FALSE
cram_flush_container2,htslib/cram/cram_io.c,4087,,,FALSE
hts_tpool_next_result,htslib/thread_pool.c,200,,,TRUE
cram_flush_result,htslib/cram/cram_io.c,4166,,,FALSE
sub_idx,htslib/cram/cram_encode.c,70,,,TRUE
itf8_put_blk,htslib/cram/cram_io.c,620,,,TRUE
cram_new_block,htslib/cram/cram_io.c,1388,,,TRUE
cram_encode_compression_header,htslib/cram/cram_encode.c,83,,,FALSE
cram_encode_slice_header,htslib/cram/cram_encode.c,511,,,FALSE
cram_encode_slice_read,htslib/cram/cram_encode.c,572,,,FALSE
libdeflate_deflate,htslib/cram/cram_io.c,1113,,,FALSE
zlib_mem_deflate,htslib/cram/cram_io.c,1222,,,TRUE
lzma_mem_deflate,htslib/cram/cram_io.c,1295,,,TRUE
cram_compress_by_method,htslib/cram/cram_io.c,1756,,,FALSE
cram_block_method2str,htslib/cram/cram_io.c,2341,,,TRUE
cram_compress_block3,htslib/cram/cram_io.c,1912,4,self,FALSE
cram_compress_block2,htslib/cram/cram_io.c,2316,,,FALSE
cram_compress_slice,htslib/cram/cram_encode.c,803,,,FALSE
cram_allocate_block,htslib/cram/cram_encode.c,1005,5,self,FALSE
cram_encode_slice,htslib/cram/cram_encode.c,1096,,,FALSE
bam_data_end,htslib/cram/cram_encode.c,1246,,,TRUE
le_to_u16,htslib/htslib/hts_endian.h,129,,,TRUE
le_to_i16,htslib/htslib/hts_endian.h,240,,,TRUE
le_to_i32,htslib/htslib/hts_endian.h,251,,,TRUE
bam_aux2i_end,htslib/cram/cram_encode.c,1253,,,TRUE
aux_type2size,htslib/sam.c,737,,,TRUE
skip_aux,htslib/sam.c,4793,,,TRUE
bam_aux_first,htslib/sam.c,4819,,,TRUE
bam_aux_next,htslib/sam.c,4827,,,TRUE
bam_aux_get,htslib/sam.c,4842,,,TRUE
expected_template_count,htslib/cram/cram_encode.c,1301,,,TRUE
lossy_read_names,htslib/cram/cram_encode.c,1340,,,FALSE
cram_stats_add,htslib/cram/cram_stats.c,52,,,TRUE
add_read_names,htslib/cram/cram_encode.c,1433,,,FALSE
extend_ref,htslib/cram/cram_encode.c,1504,,,FALSE
next_cigar_op,htslib/cram/cram_encode.c,1476,,,TRUE
hts_str2uint,htslib/textutils_internal.h,297,,,TRUE
bam_cigar2rlen,htslib/sam.c,663,,,TRUE
cram_add_to_ref_MD,htslib/cram/cram_encode.c,1553,,,FALSE
cram_add_to_ref,htslib/cram/cram_encode.c,1659,,,FALSE
cram_generate_reference,htslib/cram/cram_encode.c,1733,,,FALSE
validate_md5,htslib/cram/cram_encode.c,1794,,,FALSE
sam_hrecs_find_rg,htslib/header.c,3068,,,FALSE
cram_add_feature,htslib/cram/cram_encode.c,2574,,,FALSE
cram_add_substitution,htslib/cram/cram_encode.c,2601,,,FALSE
cram_add_bases,htslib/cram/cram_encode.c,2628,,,FALSE
cram_add_base,htslib/cram/cram_encode.c,2641,,,FALSE
cram_add_quality,htslib/cram/cram_encode.c,2658,,,FALSE
cram_add_deletion,htslib/cram/cram_encode.c,2673,,,FALSE
cram_add_softclip,htslib/cram/cram_encode.c,2683,,,FALSE
cram_add_hardclip,htslib/cram/cram_encode.c,2719,,,FALSE
cram_add_skip,htslib/cram/cram_encode.c,2729,,,FALSE
cram_add_pad,htslib/cram/cram_encode.c,2739,,,FALSE
cram_add_insertion,htslib/cram/cram_encode.c,2749,,,FALSE
cram_new_metrics,htslib/cram/cram_io.c,2327,,,TRUE
cram_encoding2str,htslib/cram/cram_codecs.c,3811,,,TRUE
cram_encoder_init,htslib/cram/cram_codecs.c,3928,,,TRUE
cram_stats_dump,htslib/cram/cram_stats.c,105,,,TRUE
cram_stats_encoding,htslib/cram/cram_stats.c,134,,,TRUE
cram_encode_aux,htslib/cram/cram_encode.c,2784,,,FALSE
cram_stats_del,htslib/cram/cram_stats.c,80,,,TRUE
nibble2base_default,htslib/sam_internal.h,72,,,TRUE
nibble2base,htslib/sam_internal.h,111,,,TRUE
kputc_,htslib/htslib/kstring.h,268,,,TRUE
kputuw,htslib/htslib/kstring.h,286,,,TRUE
process_one_read,htslib/cram/cram_encode.c,3385,,,FALSE
cram_ref_incr,htslib/cram/cram_io.c,3183,,,TRUE
cram_encode_container,htslib/cram/cram_encode.c,1846,,,FALSE
cram_flush_container,htslib/cram/cram_io.c,4141,,,FALSE
reset_metrics,htslib/cram/cram_io.c,4236,,,TRUE
hts_tpool_dispatch2,htslib/thread_pool.c,841,,,TRUE
cram_flush_container_mt,htslib/cram/cram_io.c,4273,,,FALSE
cram_free_file_def,htslib/cram/cram_io.c,4698,,,TRUE
cram_index_free_recurse,htslib/cram/cram_index.c,363,6,self,FALSE
cram_index_free,htslib/cram/cram_index.c,373,,,FALSE
hts_tpool_process_empty,htslib/thread_pool.c,258,,,TRUE
cram_drain_rqueue,htslib/cram/cram_decode.c,3632,,,FALSE
sam_hdr_destroy,htslib/sam.c,117,,,TRUE
cram_write_eof_block,htslib/cram/cram_io.c,5472,7,mutual,FALSE
cram_close,htslib/cram/cram_io.c,5556,7,mutual,FALSE
cram_eof,htslib/cram/cram_io.c,5662,,,TRUE
hts_filter_free,htslib/hts_expr.c,863,,,TRUE
hts_idx_destroy,htslib/hts.c,2687,,,TRUE
idx_write_uint64,htslib/hts.c,2733,,,TRUE
need_idx_ugly_delay_hack,htslib/hts.c,2748,,,TRUE
hts_idx_close_otf_fp,htslib/hts.c,2910,,,TRUE
sam_free_sp_bams,htslib/sam.c,3076,,,TRUE
bam_hdr_destroy,htslib/htslib/sam.h,401,,,TRUE
hts_tpool_process_shutdown,htslib/thread_pool.c,327,,,TRUE
hts_tpool_dispatch,htslib/thread_pool.c,829,,,TRUE
sam_state_destroy,htslib/sam.c,3092,,,TRUE
fastq_state_destroy,htslib/sam.c,3802,,,TRUE
hts_close,htslib/hts.c,1639,,,TRUE
hts_close_or_abort,htslib/test/fuzz/hts_open_fuzzer.c,40,,,TRUE
sam_hdr_count_lines,htslib/header.c,2142,,,TRUE
refs_from_header,htslib/cram/cram_io.c,2768,,,TRUE
cram_read_file_def,htslib/cram/cram_io.c,4660,,,TRUE
redact_header_text,htslib/header.c,1530,,,TRUE
sam_hdr_add_lines,htslib/header.c,1657,,,TRUE
int32_decode,htslib/cram/cram_io.c,1005,,,TRUE
int32_get_blk,htslib/cram/cram_io.c,1029,,,TRUE
hgetc2,htslib/hfile.c,235,,,TRUE
hgetc,htslib/htslib/hfile.h,163,,,TRUE
cram_read_block,htslib/cram/cram_io.c,1414,,,TRUE
cram_read_container,htslib/cram/cram_io.c,3786,,,FALSE
sam_hdr_init,htslib/sam.c,108,,,TRUE
cram_read_SAM_hdr,htslib/cram/cram_io.c,4715,,,FALSE
cram_init_varint,htslib/cram/cram_io.c,5127,,,TRUE
cram_init_tables,htslib/cram/cram_io.c,5170,,,TRUE
cram_dopen,htslib/cram/cram_io.c,5287,,,FALSE
cram_load_reference,htslib/cram/cram_io.c,3597,,,TRUE
cram_seek,htslib/cram/cram_io.c,5429,,,FALSE
cram_index_query,htslib/cram/cram_index.c,404,,,FALSE
